kvk,naam,boekjaar,accountant
86631691,Cuppa Topco B.V.,2024,KPMG
77798031,CureVac N.V.,2024,KPMG
37042281,Curium Netherlands B.V.,2024,KPMG
30204625,Cycleon B.V.,2024,KPMG
18082424,CZ zorgkantoor B.V.,2024,KPMG
27093766,CZ Zorgverzekeringen N.V.,2024,KPMG
83810854,Daimler Truck Financial Services Nederland B.V.,2024,KPMG
82840652,Daimler Truck International Finance B.V.,2024,KPMG
69861935,Daimler Truck Nederland B.V.,2024,KPMG
08018149,Damen Dredging Equipment B.V.,2024,KPMG
23033889,Damen Marine Components Netherlands B.V.,2024,KPMG
81184484,Damen Naval KM B.V.,2024,KPMG
73405345,Damen Offshore & Specialized Vessels,2024,KPMG
22044040,Damen Schelde Naval Shipbuilding B.V.,2024,KPMG
76791718,Damen Services B.V.,2024,KPMG
34230034,Damen Shiprepair Amsterdam B.V.,2024,KPMG
22038816,Damen Shiprepair Vlissingen B.V.,2024,KPMG
23036357,Damen Shipyards,2024,KPMG
37047101,Damen Shipyards Den Helder B.V.,2024,KPMG
23055555,Damen Shipyards Group N.V.,2024,KPMG
76792595,Damen Workboats B.V.,2024,KPMG
22047281,Damen Yachting B.V.,2024,KPMG
59238666,Darling International NL Holdings B.V.,2024,KPMG
30147672,Dassault Systèmes B.V.,2024,KPMG; PwC
87126524,DataQuake B.V.,2024,KPMG
30124363,DB Cargo Nederland N.V.,2024,KPMG
13019455,DCN Diving B.V.,2024,KPMG
32109391,de Alliantie Ontwikkeling B.V.,2024,KPMG
70535728,de Alliantie Woonfonds B.V.,2024,KPMG
27171912,De Brauw Blackstone Westbroek N.V.,2024,KPMG
29050370,De Goudse N.V.,2024,KPMG
09095239,De IJsvogel Holding B.V.,2024,KPMG
33003396,De Nederlandsche Bank N.V.,2024,KPMG
27070728,De Nederlandse Investeringsbank voor Ontwikkelingslanden N.V.,2024,KPMG
04084443,De Trans Wilhelminastraat,2024,KPMG
27354489,Deckers Benelux B.V.,2024,KPMG
27142635,Denys Engineers & Contractors B.V.,2024,KPMG
30129709,Devoteam Nederland B.V.,2024,"KPMG, Grant Thornton"
34132532,Digi Communications N.V.,2024,KPMG
83373616,Digital Power Technologies B.V.,2024,KPMG
08167519,Dimencegroep / Jeugd GGZ / Thubble / Dimence / Mindfit,2024,KPMG
33158237,Disaronno International B.V.,2024,KPMG
55234399,Dockwise Vanguard,2024,KPMG
20139966,Dole Europe B.V.,2024,KPMG
08020381,DP World Logistics Netherlands B.V.,2024,KPMG
09118128,DPD (Nederland) B.V.,2024,KPMG; Mazars
14075466,DPS B.V.,2024,KPMG
28078815,DPS Engineering (Netherlands) B.V.,2024,KPMG
34355971,Drill Ship International B.V.,2024,KPMG
14022069,DSM B.V.,2024,KPMG
08166373,DSVS Holding B.V.,2024,KPMG
71518436,Dune TopCo B.V.,2024,KPMG
27122974,Dunea N.V.,2024,KPMG
01079810,Dunlop Enerka Netherlands B.V.,2024,KPMG
38018377,Dunlop Protective Footwear B.V.,2024,KPMG
24289036,Dura Vermeer Groep,2024,KPMG
66517052,DXC Finance B.V.,2024,KPMG
66332745,DXC Technology,2024,KPMG
59009187,e& PPF Telecom Group B.V.,2024,KPMG
33174429,E.ON International Finance B.V.,2024,KPMG
34168241,E.ON International Participations N.V.,2024,KPMG
71297936,Eagle Super Global Holding B.V.,2024,KPMG
23076059,Easytrip B.V.,2024,KPMG
51395029,EBS Public Transportation B.V.,2024,KPMG
88445887,EdgeConneX International Coöperatief U.A.,2024,KPMG
66527198,EG Holdings B.V.,2024,KPMG
24276634,Electronic Arts Nederland B.V.,2024,KPMG
52638243,Embraer Netherlands B.V.,2024,KPMG
63376431,Embraer Netherlands Finance B.V.,2024,KPMG
