kvk,naam,boekjaar,accountant,sbi,plaats
58036008,Titan Tire Russia B.V.,2018,Grant Thornton,22110,
58036008,Titan Tire Russia B.V.,2020,Grant Thornton,22110,
01179378,Onroerend Goed De Haan B.V.,2022,Grant Thornton,70102,
80412890,Shiraz NL Acquisition B.V.,2022,Grant Thornton,64210,
55398901,Bioventus Coöperatief U.A.,2020,Grant Thornton,46461,
28058288,KSB Industries B.V.,2019,Grant Thornton,68110,
59171960,Medline International B.V.,2021,Grant Thornton,46462,
27172813,Quality Produce International (Q.P.I.) B.V.,2019,Grant Thornton,46311,
27172813,Quality Produce International (Q.P.I.) B.V.,2022,Grant Thornton,46311,
17222764,Roan Camping Holidays B.V.,2019,Grant Thornton,79110,
17222764,Roan Camping Holidays B.V.,2021,Grant Thornton,79110,
71181822,Infor (Netherlands) B.V.,2022,Grant Thornton,62100,
71181822,Infor (Netherlands) B.V.,2023,Grant Thornton,62100,
71181822,Infor (Netherlands) B.V.,2024,Grant Thornton,62100,
27031431,Pietercil Barends B.V.,2018,Grant Thornton,46390,
27031431,Pietercil Barends B.V.,2019,Grant Thornton,46390,
27031431,Pietercil Barends B.V.,2023,Grant Thornton,46390,
27031431,Pietercil Barends B.V.,2024,Grant Thornton,46390,
32115550,Applied Medical Europe B.V.,2018,Grant Thornton,32502,
32115550,Applied Medical Europe B.V.,2021,Grant Thornton,32502,
32115550,Applied Medical Europe B.V.,2022,Grant Thornton,32502,
32115550,Applied Medical Europe B.V.,2023,Grant Thornton,32502,
72552875,Walraven Europe B.V.,2020,Grant Thornton,64210,
72552875,Walraven Europe B.V.,2024,Grant Thornton,64210,
61505439,WeWork Netherlands B.V.,2023,Grant Thornton,64210,
20049412,Leyenaar Taapken Lamaker Holding B.V.,2020,Grant Thornton,64210,
08016258,Maars Holding B.V.,2019,Grant Thornton,64210,
01077394,Infor (Barneveld) B.V.,2020,Grant Thornton,64210,
01077394,Infor (Barneveld) B.V.,2022,Grant Thornton,64210,
30212330,Northwave Nederland B.V.,2024,Grant Thornton,80010,
71561544,UiPath Netherlands B.V.,2024,Grant Thornton,73200,
71561544,UiPath Netherlands B.V.,2025,Grant Thornton,73200,
33249147,Fros International B.V.,2019,Grant Thornton,46421,
33249147,Fros International B.V.,2020,Grant Thornton,46421,
33249147,Fros International B.V.,2022,Grant Thornton,46421,
33249147,Fros International B.V.,2023,Grant Thornton,46421,
30075396,Enerpac B.V.,2023,Grant Thornton,28120,
16078282,V-Wood Beheer B.V.,2024,Grant Thornton,64210,
34173620,Infor International Holdings B.V.,2020,Grant Thornton,64210,
68218737,Advanced Safety Technologies B.V.,2021,Grant Thornton,70201,
68218737,Advanced Safety Technologies B.V.,2022,Grant Thornton,70201,
77894731,GTT Holdings Netherlands B.V.,2021,Grant Thornton,62900,
33289911,Jacatin B.V.,2024,Grant Thornton,64210,
55423833,DL Logistics Group B.V.,2019,Grant Thornton,64210,
55423833,DL Logistics Group B.V.,2021,Grant Thornton,64210,
55423833,DL Logistics Group B.V.,2022,Grant Thornton,64210,
20073364,Burando Holding B.V.,2019,Grant Thornton,70102,
20073364,Burando Holding B.V.,2021,Grant Thornton,70102,
24266764,Van Uden Holding B.V.,2018,Grant Thornton,64210,
24266764,Van Uden Holding B.V.,2019,Grant Thornton,64210,
27105382,Prevent Brandbeveiliging B.V.,2022,Grant Thornton,46645,
34262183,Apco Worldwide Netherlands B.V.,2020,Grant Thornton,64210,
28110080,Stichting ''stArt'',2018,Grant Thornton,59111,
30184829,Roma Veenendaal Holding B.V.,2023,Grant Thornton,70102,
71111131,Muon B.V.,2020,Grant Thornton,64210,
84209070,Windcat Workboats International B.V.,2022,Grant Thornton,50100,
82177457,Base Logistics Group,2021,Grant Thornton,64210,
77480589,Movianto International B.V.,2024,"Forvis Mazars, Grant Thornton",64210,
73459135,Bitvavo Group B.V.,2024,Grant Thornton,64210,
29027339,Combilo Beheer B.V.,2019,Grant Thornton,64210,
23071995,TIOFARMA BEHEER B.V.,2020,Grant Thornton,68320,
28080733,Melius Cras Holding B.V.,2019,Grant Thornton,64210,
28080733,Melius Cras Holding B.V.,2021,Grant Thornton,64210,
24151616,Nedelko B.V.,2018,Grant Thornton,46500,
34178161,ACL Airshop B.V.,2019,Grant Thornton,46649,
24352072,Iv-Groep B.V.,2024,Grant Thornton,64210,
28117368,Marfrig Holdings (Europe) B.V.,2023,Grant Thornton,64210,
29027929,Beheermaatschappij LaPipack B.V.,2024,Grant Thornton,64210,
27271485,Armada Music B.V.,2019,Grant Thornton,59200,
23081946,Load-Lok International B.V.,2017,Grant Thornton,,
56645775,Alimera Sciences B.V.,2017,Grant Thornton LLP,,
30219442,Veris Bouwmaterialengroep B.V.,2018,Grant Thornton,46471,
30219442,Veris Bouwmaterialengroep B.V.,2020,Grant Thornton,46471,
30219442,Veris Bouwmaterialengroep B.V.,2023,Grant Thornton,46471,
30219442,Veris Bouwmaterialengroep B.V.,2024,Grant Thornton,46471,
29006158,Van Noort Holding B.V.,2019,Grant Thornton,,
34110202,ACN Europe B.V.,2017,Grant Thornton,82200,
34110202,ACN Europe B.V.,2018,Grant Thornton,82200,
24151794,Cornelder Holding B.V.,2018,Grant Thornton,64210,
24151794,Cornelder Holding B.V.,2020,Grant Thornton,64210,
17073774,D&M Europe B.V.,2023,Grant Thornton,46500,
32113815,PrivaZorg WMO Beheer B.V.,2018,Grant Thornton,,
28100038,Alpha Wax B.V.,2017,Grant Thornton,46751,
30104691,Biotronik Nederland B.V.,2017,Grant Thornton,46462,
34185591,TYC Europe B.V.,2017,Grant Thornton,45311,
24235286,PPF Participatie Fonds B.V.,2017,Grant Thornton,6420,
60724064,Shiloh Holdings Netherlands B.V.,2017,Grant Thornton,6420,
27084741,Samson Regeltechniek B.V.,2017,Grant Thornton,2651,
36050094,Jacquet Nederland B.V.,2017,Grant Thornton,46722,
24073651,Peterson Rotterdam B.V.,2017,Grant Thornton,52291,
23042855,IMS Nederland B.V.,2017,Grant Thornton,46722,
27259366,Buren N.V.,2017,Grant Thornton,69101,
24352072,Iv-Groep B.V.,2017,Grant Thornton,6420,
64144933,Syncasso Holding B.V.,2017,Grant Thornton,6420,
32070622,Lavide Holding N.V.,2018,Grant Thornton,6420,
24238365,Cordia H Holding B.V.,2018,Grant Thornton,6420,
64398382,Sentia Group B.V.,2017,Grant Thornton,70102,
24151794,Cornelder Holding B.V.,2017,Grant Thornton,6420,
24168542,Technisch Handelsburo Verhoef B.V.,2017,Grant Thornton,46722,
32098839,Thuiszorg van Oranje Utrecht B.V.,2017,Grant Thornton,88999,
24167752,Peterson Control Union Group B.V.,2017,Grant Thornton,6420,
52611302,Stichting Landelijk wonen Klein Houtdijk,2017,Grant Thornton,8720,
69544972,Hittech Group B.V.,2017,Grant Thornton,6420,
17069403,STAPPERT Noxon B.V.,2017,Grant Thornton,46722,
27348815,Stichting 2 help CHILDREN,2017,Grant Thornton,94996,
20129147,Boti Holding B.V.,2017,Grant Thornton,6420,
27249393,Landis+Gyr B.V.,2018,Grant Thornton,46695,
08071945,Partes B.V.,2017,Grant Thornton,6420,
24224439,Intermotor B.V.,2017,Grant Thornton,6420,
30139276,Redwood International Business Group B.V.,2017,Grant Thornton,6201,
29038279,J.J.W. Doove Holding B.V.,2017,Grant Thornton,6420,
28116302,He Space Management B.V.,2017,Grant Thornton,6420,
28089721,Rijnoever Holding B.V.,2017,Grant Thornton,70102,
28032820,Kluthe Benelux B.V.,2017,Grant Thornton,2030,
24328866,voestalpine Metal Forming Netherlands Holding B.V.,2017,Grant Thornton,6420,
27172813,Quality Produce International (Q.P.I.) B.V.,2017,Grant Thornton,46311,
28001462,Kluthe Benelux Holding B.V.,2017,Grant Thornton,6810,
28089096,Max Bögl Nederland B.V.,2017,Grant Thornton,4120,
20031711,Thetford B.V.,2017,Grant Thornton,2223,
29012283,B.V. Transportonderneming Zijderlaan,2017,Grant Thornton,4941,
32115550,Applied Medical Europe B.V.,2017,Grant Thornton,46462,
61876976,VCKG Holding B.V.,2017,Grant Thornton,70102,
30199525,Mott MacDonald B.V.,2017,Grant Thornton,70221,
30073048,Burando Holding B.V.,2017,Grant Thornton,6420,
34164265,SCHOLLE IPN HOLDING B.V.,2018,Grant Thornton,6831,
24380857,BDP Netherlands B.V.,2017,Grant Thornton,46751,
29037979,Bouwbedrijf Frans Vink en Zonen B.V.,2017,Grant Thornton,4120,
29036436,LC Packaging Netherlands B.V.,2017,Grant Thornton,46696,
28030317,Apotex Nederland B.V.,2018,Grant Thornton,2120,
30219442,Veris Bouwmaterialengroep B.V.,2017,Grant Thornton,46471,
20049827,SCHOLLE IPN EUROPE HOLDING B.V.,2017,Grant Thornton,2222,
20093525,VIP Computers Benelux B.V.,2018,Grant Thornton,4651,
11008691,Betuwe Beton Holding B.V.,2017,Grant Thornton,6612,
29007753,Vandersterre Holland B.V.,2017,Grant Thornton,46331,
66682614,Complex Bidco B.V.,2017,Grant Thornton,6420,
32113818,PrivaZorg Aanvullende Zorg B.V.,2017,Grant Thornton,88101,
27134074,Jack van Lochem Holding B.V.,2017,Grant Thornton,6420,
08062031,Cobb Europe B.V.,2017,Grant Thornton,01473,
28003642,Grofsmederij Nieuwkoop B.V.,2017,Grant Thornton,2550,
32127003,Applied Medical Distribution Europe B.V.,2017,Grant Thornton,2660,
33173631,Fintage House B.V.,2017,Grant Thornton,7740,
34062952,Dredging and Contracting Rotterdam B.V.,2017,Grant Thornton,4291,
65858190,Incluzio Hollands Kroon B.V.,2017,Grant Thornton,88991,
32113805,PrivaZorg AWBZ B.V.,2017,Grant Thornton,88101,
34036913,KSB Nederland B.V.,2017,Grant Thornton,2813,
56206623,Littelfuse Holding II B.V.,2017,Grant Thornton,6420,
61296201,The Cargo Control Company B.V.,2017,Grant Thornton,6420,
59171960,Medline International B.V.,2017,Grant Thornton,46462,
28085216,Stichting IZO,2017,Grant Thornton,88101,
54102901,Stichting Zorgorganisatie NiKo,2018,Grant Thornton,87302,
24449661,Stichting Medisch Psychiatrisch Centrum PsyTobe,2018,Grant Thornton,86913,
30231794,PsyMens B.V.,2018,Grant Thornton,86913,
29002853,Edelman B.V.,2018,Grant Thornton,46441,
34158661,MILIEU SERVICE NEDERLAND B.V.,2018,Grant Thornton,77399,
24252278,Stichting Maaszicht,2018,Grant Thornton,87902,
30283799,Comenius Adviesburo B.V.,2018,Grant Thornton,7220,
24352072,Iv-Groep B.V.,2018,Grant Thornton,6420,
37051054,Ubbink Garden B.V.,2017,Grant Thornton,46499,
60743956,Stichting Acare Thuiszorg,2018,Grant Thornton,88101,
55648118,Apollo Tyres Global R&D B.V.,2017,Grant Thornton,7112,
66895332,Electro-Cirkel RETAIL B.V.,2018,Grant Thornton,46473,
65858190,Incluzio Hollands Kroon B.V.,2018,Grant Thornton,88991,
34076792,Seabourne Express Couriers B.V.,2018,Grant Thornton,52291,
54606179,Fastned B.V.,2018,Grant Thornton,3514,
24099628,Broekman Group B.V.,2018,Grant Thornton,52291,
27259366,Buren N.V.,2018,Grant Thornton,69101,
17187876,Witlox Van den Boomen Accountants N.V.,2018,Grant Thornton,69201,
52611302,Stichting Landelijk wonen Klein Houtdijk,2018,Grant Thornton,8720,
30229933,B+B Vakmedianet B.V.,2017,Grant Thornton,70221,
62135686,Inventum Beheer B.V.,2017,Grant Thornton,66191,
06055837,Hittech Netherlands B.V.,2017,Grant Thornton,6420,
64633837,Curtec Group B.V.,2018,Grant Thornton,6420,
24216824,Van der Linden & Veldhuis Isolatie B.V.,2017,Grant Thornton,4329,
28102766,HE Space Holding B.V.,2017,Grant Thornton,6420,
06067125,Universal Electronics B.V.,2017,Grant Thornton,46432,
24238365,Cordia H Holding B.V.,2017,Grant Thornton,6420,
34322661,Stichting Betsaïda Thuiszorg Amsterdam,2017,Grant Thornton,88101,
66348773,VMN Group Holding B.V.,2017,Grant Thornton,6420,
24155006,Trefoil Trading B.V.,2017,Grant Thornton,46712,
29027339,Combilo Beheer B.V.,2018,Grant Thornton,6420,
08058711,A.W.L. Techniek Holding B.V.,2017,Grant Thornton,6420,
60743956,Stichting Acare Thuiszorg,2017,Grant Thornton,88101,
58036008,Titan Tire Russia B.V.,2017,Grant Thornton,2211,
20105850,JMB Holding B.V.,2017,Grant Thornton,6420,
09041351,Basf Finance Europe N.V.,2018,Grant Thornton,70102,
54806941,Apollo Tyres B.V.,2018,Grant Thornton,2211,
33214341,Cable and Wireless International Finance B.V.,2017,Grant Thornton,64922,
34036913,KSB Nederland B.V.,2018,Grant Thornton,2813,
29020065,Combilo International B.V.,2017,Grant Thornton,46311,
08065983,AWL-Techniek B.V.,2017,Grant Thornton,7112,
24134462,De Jong Intra Vakanties B.V.,2017,Grant Thornton,7912,
30270826,Stichting De Heem,2017,Grant Thornton,87902,
29023492,Dekker Beheer B.V.,2017,Grant Thornton,6420,
64284107,ACL Ranger Holdings B.V.,2017,Grant Thornton,6420,
29007343,Compaxo Holding B.V.,2017,Grant Thornton,6420,
34354086,SeaChange B.V.,2018,Grant Thornton,6420,
24388498,Bluehoef B.V.,2017,Grant Thornton,70102,
23035129,Amari Holdings B.V.,2017,Grant Thornton,70102,
29035244,Doove Care Groep B.V.,2017,Grant Thornton,46462,
37060260,Peterson Den Helder B.V.,2017,Grant Thornton,52291,
60316306,Simpel.nl B.V.,2017,Grant Thornton,6120,
34164265,SCHOLLE IPN HOLDING B.V.,2017,Grant Thornton,6831,
29011273,A. Bunnik B.V.,2017,Grant Thornton,4312,
20049412,Leyenaar Taapken Lamaker Holding B.V.,2017,Grant Thornton,6420,
55648118,Apollo Tyres Global R&D B.V.,2018,Grant Thornton,7112,
24283878,AND International Publishers N.V.,2018,Grant Thornton,6420,
60853182,Geboortezorg EigenWijs B.V.,2017,Grant Thornton,86911,
33304225,Envipco Holding N.V.,2018,Grant Thornton,6420,
29017462,Dekker Zevenhuizen B.V.,2017,Grant Thornton,6420,
30095930,Severs Holding B.V.,2017,Grant Thornton,70102,
12037305,Elmos Services B.V.,2017,Grant Thornton,4652,
36021170,Vandersterre Groep Packaging B.V.,2017,Grant Thornton,46331,
28101126,Apotex Europe Holding B.V.,2017,Grant Thornton,6420,
55609791,King Holding B.V.,2017,Grant Thornton,6420,
54606179,Fastned B.V.,2017,Grant Thornton,3514,
28030317,Apotex Nederland B.V.,2017,Grant Thornton,2120,
29006158,Van Noort Holding B.V.,2017,Grant Thornton,6420,
28075073,Dr. Reddy's Research and Development B.V.,2017,Grant Thornton,72193,
32030582,Aurobindo Pharma B.V.,2017,Grant Thornton,46461,
24334171,Electro-Cirkel Vastgoed B.V.,2017,Grant Thornton,68204,
24252278,Stichting Maaszicht,2017,Grant Thornton,87902,
29027929,Beheermaatschappij LaPipack B.V.,2017,Grant Thornton,6420,
27249393,Landis+Gyr B.V.,2017,Grant Thornton,46695,
34223268,Apollo Vredestein B.V.,2017,Grant Thornton,2211,
34223268,Apollo Vredestein B.V.,2018,Grant Thornton,2211,
36050094,Jacquet Nederland B.V.,2018,Grant Thornton,46722,
57221677,Walraven Mijdrecht Holding B.V.,2018,Grant Thornton,6420,
24380412,Nautilus Fitness International B.V.,2023,Grant Thornton,46496,
34137364,Jones Lang LaSalle Finance B.V.,2022,Grant Thornton,64922,
05065044,Visscher Caravelle Holding B.V.,2019,Grant Thornton,70102,
